"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"NEMICHTHYS SCOLOPACEUS","SLENDER SNIPE EEL",67,"SNIPEEEL","823030701010000","NEMSCO","8741210202","","S","","RICHARDSON, 1848","AFS-1991","","SINGLE SP. IN FAMILY IN AREA","Nemichthys scolopaceus","Slender Snipe Eel","067",09-AUG-95,"BK",,""
"NEOGASTROPODA","",,"","514080000000000","NEOGAS","5104","","O","","","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"NEOMERINTHE HEMINGWAYI","SPINYCHEEK SCORPIONFISH",751,"SPISCOR","","","8826010402","","S","","FOWLER","AFS-1991","","","Neomerinthe hemingwayi","Spinycheek Scorpionfish","751",09-AUG-95,"BK",,""
"MICRODESMIDAE","WORMFISH UNCL",,"","823218200000000","MICFAM","884706","","F","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"MICRODEUTOPUS GRYLLOTALPA","",,"","411010502020000","MICGRY","6169060401","","S","","COSTA, 1853","","","","","","",28-DEC-94,"RAR",,""
"MICRODEUTOPUS SP","",,"","411010502000000","MICRSP","61690604","","G","","COSTA, 1853","","","","","","",28-DEC-94,"RAR",,""
"MICROGADUS TOMCOD","ATLANTIC TOMCOD",453,"TOMCOD","","","8791030602","","S","","(WALBAUM)","AFS-1991","","","Microgadus tomcod","Atlantic Tomcod","453",09-AUG-95,"BK",,""
"MICROGOBIUS SP","",,"","823218402000000","MICRS1","88470107","","G","","","AFS-1991","","NOTE, DOUBTFUL ID","","","",28-DEC-94,"RAR",,""
"MICROPOGONIAS UNDULATUS","ATLANTIC CROAKER",136,"CROAKER","823216410020000","MICUND","8835440701","","S","","(LINNAEUS)","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"MICROPROTOPUS SP","",,"","411012306000000","MICRS2","61692609","","G","","NORMAN, 1867","","","","","","",28-DEC-94,"RAR",,""
"MICRURA SP","",,"","091010103000000","MICRS3","43030205","","G","","","","","","","","",28-DEC-94,"RAR",,""
"MISCELLANEOUS HUMAN TRASH","MISCELLANEOUS HUMAN TRASH",,"","932000000000000","MISHUM","NONE","","","","","FH-1995","","MISC GROUPING FOR FOOD HABITS - ANTHROPOGENIC MATERIALS","","","",28-DEC-94,"RAR",,""
"MISCELLANEOUS MATERIALS","MISCELLANEOUS MATERIALS",,"","930000000000000","MISMAT","NONE","","","","","FH-1995","","MISC GROUPING FOR FOOD HABITS - NON-LIVING AND ANTHROPOGENIC","","","",28-DEC-94,"RAR",,""
"MODIOLUS MODIOLUS","NORTHERN HORSEMUSSEL",342,"","512030112020000","MODMOD","5507010601","","S","","(LINNAEUS,1758)","AFS-1988","","|SV: CORRECTED TO AFS-88 STANDARD","Modiolus modiolus","Horse Mussel","342",09-AUG-95,"BK",,""
"MOLA MOLA","OCEAN SUNFISH",265,"SUN","","","8861040101","","S","","(LINNAEUS)","AFS-1991","","","Mola mola","Ocean Sunfish","265",09-AUG-95,"BK",,""
"MOLLUSCA","MOLLUSK UNCL",,"","510000000000000","MOLLUS","5085","","P","","","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"MOLLUSCA EGGS","MOLLUSK EGGS",,"","510000000000100","MOLEGG","NONE","","","","","FH-1995","","SPECIAL FCDI LIFE STAGE CODE","","","",28-DEC-94,"RAR",,""
"MOLLUSCA SHELL","MOLLUSK SHELL",,"","510000000000004","MOLSHE","NONE","","","","","FH-1995","","SPECIAL FCDI STRUCTURE CODE","","","",28-DEC-94,"RAR",,""
"MOLLUSCA VISCERA","MOLLUSK VISCERA",,"","510000000000007","MOLVIS","NONE","","","","","FH-1995","","SPECIAL FCDI CODE INDICATES SUSPECTED FISHING BOAT DISCARD","","","",28-DEC-94,"RAR",,""
"MOLPADIA MUSCULUS","",,"","615050105020000","MOLMUS","8179010104","","S","","RISSO, 1826","","","","","","",28-DEC-94,"RAR",,""
"MONACANTHUS CILIATUS","FRINGED FILEFISH",836,"FRIFILE","","","8860020701","","S","","(MITCHILL)","AFS-1991","","","Monacanthus ciliatus","Fringed Filefish","836",09-AUG-95,"BK",,""
"MONACANTHUS HISPIDUS","PLANEHEAD FILEFISH",201,"PLAFILE","823280104020000","MONHIS","8860020703","","S","","(LINNAEUS)","AFS-1991","","","Monacanthus hispidus","Planehead Filefish","201",09-AUG-95,"BK",,""
"PUNCTURELLA SP","",,"","514020501000000","PUNCSP","51020402","","G","","R. T. LOWE, 1827","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"PUNGITIUS PUNGITIUS","NINESPINE STICKLEBACK",902,"","","","8818010201","","S","","(LINNAEUS, 1758)","AFS-1991","","","Pungitius pungitius","Ninespine Stickleback","902",09-AUG-95,"BK",,""
"PYCNOGONIDA","SEA SPIDER UNCL",,"","412000000000000","PYCNOG","60","","C","","","","","","","","",28-DEC-94,"RAR",,""
"PYCNOGONIDAE","",,"","412010700000000","PYCFAM","600108","","F","","","","","","","","",28-DEC-94,"RAR",,""
"PYCNOGONUM LITTORALE","",,"","412010701020000","PYCLIT","6001080103","","S","","","","","","","","",28-DEC-94,"RAR",,""
"RACHYCENTRON CANADUM","COBIA",563,"COBIA","","","8835260101","","S","","(LINNAEUS, 1766)","AFS-1991","","","Rachycentron canadum","Cobia","563",09-AUG-95,"BK",,""
"RAJA ACKLEYI","OCELLATE SKATE",368,"OCESKAT","","","8713040117","","S","","GARMAN","AFS-1991","","","Raja ackleyi","Ocellate Skate","368",09-AUG-95,"BK",,""
"RAJA EGLANTERIA","CLEARNOSE SKATE",24,"CLESKAT","822020501050000","RAJEGL","8713040113","","S","","BOSE","AFS-1991","","","Raja eglanteria","Clearnose Skate","024",09-AUG-95,"BK",,""
"LEUCORAJA ERINACEA","LITTLE SKATE",26,"LITSKAT","822020501060000","RAJERI","8713040114","","S","","(MITCHILL, 1825)","AFS-1991","","Genus name change, JUL-2000","Raja erinacea","Little Skate","026",09-AUG-95,"BK",,""
"LEUCORAJA GARMANI","ROSETTE SKATE",25,"ROSSKAT","822020501070000","RAJGAR","8713040124","","S","","WHITLEY","AFS-1991","","Genus name change, JUL-2000","Raja garmani","Rosette Skate","025",09-AUG-95,"BK",,""
"DIPTURUS LAEVIS","BARNDOOR SKATE",22,"BARSKAT","","","8713040115","","S","","MITCHILL","AFS-1991","","Genus name change, JUL-2000","Raja laevis","Barndoor Skate","022",09-AUG-95,"BK",,""
"LEUCORAJA OCELLATA","WINTER SKATE",23,"WINSKAT","","","8713040116","","S","","MITCHILL","AFS-1991","","Genus name change, JUL-2000","Raja ocellata","Winter Skate","023",09-AUG-95,"BK",,""
"DIPTURUS OLSENI","SPREADFIN SKATE",370,"SPRSKAT","","","8713040127","","S","","BIGELOW,SCHROEDER","AFS-1991","","Genus name change, JUL-2000","Raja olseni","Spreadfin Skate","370",09-AUG-95,"BK",,""
"AMBLYRAJA RADIATA","THORNY SKATE",28,"THOSKAT","822020501180000","RAJRAD","8713040134","","S","","DONOVAN","AFS-1991","","Genus name change, JUL-2000","Raja radiata","Thorny Skate","028",09-AUG-95,"BK",,""
"MALACORAJA SENTA","SMOOTH SKATE",27,"SMOSKAT","822020501210000","RAJSEN","8713040131","","S","","GARMAN","AFS-1991","","Genus name change, JUL-2000","Raja senta","Smooth Skate","027",09-AUG-95,"BK",,""
"RAJA SP","SKATE UNCL",20,"SKATU","822020501000000","RAJASP","87130401","","G","","","AFS-1991","","SINGLE GENUS IN FAMILY","Raja sp","Skate Uncl","020",01-JAN-99,"FPA",,""
"BATHYRAJA SPINICAUDA","SPINYTAIL SKATE",371,"SPISKAT","","","8713040135","","S","","JENSEN","AFS-1991","","Genus name change, JUL-2000","Raja spinicauda","Spinytail Skate","371",09-AUG-95,"BK",,""
"RAJA TEXANA","ROUNDEL SKATE",372,"ROUSKAT","","","8713040133","","S","","CHANDLER","AFS-1991","","","Raja texana","Roundel Skate","372",09-AUG-95,"BK",,""
"RAJIFORMES","RAY AND SKATE UNCL",5,"RAYU","822020000000000","RAJORD","8713","","O","","","AFS-1991","","|SV: CHECK LOG,BUMPED TWO RAY FAMILES TO ORDER. Note uncl skates go to Raja sp.","Dasyatidae myliobatidae sp","Ray Uncl","005",08-MAR-99,"FPA",,""
"RANILIA MURICATA","MURICATE FROG CRAB",,"","411023102010000","RANMUR","6186040401","","S","","H. MILNE EDWARDS, 1837","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT",99,"GRHALIB","","","8857041801","","S","","(WALBAUM)","AFS-1991","","","Reinhardtius hippoglossoides","Greenland Halibut","099",09-AUG-95,"BK",,""
"REMORA BRACHYPTERA","SPEARFISH REMORA",565,"SREMORA","","","8835270104","","S","","(LOWE)","AFS-1991","","","Remora brachyptera","Spearfish Remora","565",09-AUG-95,"BK",,""
"REMORA OSTEOCHIR","MARLINSUCKER",566,"MSUCKER","","","8835270102","","S","","(CUVIER)","AFS-1991","","","Remora osteochir","Marlinsucker","566",09-AUG-95,"BK",,""
"REMORA REMORA","REMORA",567,"REMORA","","","8835270103","","S","","(LINNAEUS)","AFS-1991","","","Remora remora","Remora","567",09-AUG-95,"BK",,""
"RHACHOTROPIS ACULEATA","",,"","411011102040000","RHAACU","6169201305","","S","","LEPECHIN, 1780","","","","","","",28-DEC-94,"RAR",,""
"RHACHOTROPIS OCULATA","",,"","411011102020000","RHAOCU","6169201307","","S","","HANSEN, 1888","","","","","","",28-DEC-94,"RAR",,""
"RHACHOTROPIS SP","",,"","411011102000000","RHACSP","61692013","","G","","BOECK, 1871","","","","","","",28-DEC-94,"RAR",,""
"HOWELLA SHERBORNI","SHERBORN'S CARDINALFISH",150,"SHECARD","","","8835181201","","S","","NORMAN","ESCHMEYER 1990","SCOTT & SCOTT P. 353","|SV: RHECTOGRAMMA SHERBORNI IS SYN OF HOWELLA SHERBORNI (NODC HAS BOTH DIF-CODES","Rhectogramma sherborni","Sherborns Cardinalfish","150",09-AUG-95,"BK",,""
"RHEPOXYNIUS EPISTOMUS","",,"","411012405010000","RHEEPI","6169421501","","S","","SHOEMAKER, 1938","","","","","","",28-DEC-94,"RAR",,""
"RHEPOXYNIUS SP","",,"","411012405000000","RHEPSP","61694215","","G","","J. L. BARNARD, 1979","","","","","","",28-DEC-94,"RAR",,""
"RHINCALANUS CORNUTUS","",,"","411082802010000","RHICOR","6118030201","","S","","DANA, 1852","","","","","","",28-DEC-94,"RAR",,""
"RHINOBATOS LENTIGINOSUS","ATLANTIC GUITARFISH",200,"GUITAR","","","8713020101","","S","","GARMAN","AFS-1991","","","Rhinobatos lentiginosus","Atlantic Guitarfish","200",09-AUG-95,"BK",,""
"RHINOPTERA BONASUS","COWNOSE RAY",270,"COWRAY","","","8713070301","","S","","MITCHILL","AFS-1991","","","Rhinoptera bonasus","Cownose Ray","270",09-AUG-95,"BK",,""
"RHIZOPRIONODON TERRAENOVAE","ATLANTIC SHARPNOSE SHARK",360,"SNOSESH","","","8708020301","","S","","(RICHARDSON, 1836)","AFS-1991","","","Rhizoprionodon terraenovae","Atlantic Sharpnose Shark","360",09-AUG-95,"BK",,""
"RHODINE LOVENI","",,"","214020312020000","RHOLOV","5001631003","","S","","","","","","","","",28-DEC-94,"RAR",,""
"RHODINE SP","",,"","214020312000000","RHODSP","50016310","","G","","","","","","","","",28-DEC-94,"RAR",,""
"RHODOPHYCOTA","RED ALGAE",,"","912020000000000","RHODOP","16","","P","","","NODC","","USED NODC NAME CONVENTION","","","",28-DEC-94,"RAR",,""
"RHOMBOPLITES AURORUBENS","VERMILION SNAPPER",596,"VERSNAP","823214301010000","RHOAUR","8835360501","","S","","(CUVIER AND VALENCIENNES)","AFS-1991","","","Rhomboplites aurorubens","Vermilion Snapper","596",09-AUG-95,"BK",,""
"ROCK","ROCK",,"","931020101010000","ROCK","NONE","","","","","FH-1995","","SPECIAL FCDI CODE FOR ROCKS/PEBBLES IN STOMACH","","","",28-DEC-94,"RAR",,""
"ROTIFERA","ROTIFER UNCL",,"","112000000000000","ROTIFE","45","","P","","","","","","","","",28-DEC-94,"RAR",,""
"RUBBER BAND","",,"","932020401010000","RUBBAN","NONE","","","","","FH-1995","","SPECIAL FCDI CODE FOR HUMAN TRASH IN STOMACH","","","",28-DEC-94,"RAR",,""
"RUBBER TUBE","",,"","932020401020000","RUBTUB","NONE","","","","","FH-1995","","SPECIAL FCDI CODE FOR HUMAN TRASH IN STOMACH","","","",28-DEC-94,"RAR",,""
"RUVETTUS PRETIOSUS","OILFISH",823,"OILFISH","","","8850010401","","S","","COCCO","AFS-1991","","","Ruvettus pretiosus","Oilfish","823",09-AUG-95,"BK",,""
"RYPTICUS BISTRISPINUS","FRECKLED SOAPFISH",555,"FRSOAP","","","8835030202","","S","","(MITCHILL, 1818)","AFS-1991","","","Rypticus bistrispinus","Freckled Soapfish","555",09-AUG-95,"BK",,""
"RYPTICUS SUBBIFRENATUS","SPOTTED SOAPFISH",895,"SPSOAP","","","8835030208","","S","","(GILL, 1861)","AFS-1991","","","Rypticus subbifrenatus","Spotted Soapfish","895",09-AUG-95,"BK",,""
"SABELLA CRASSICORNIS","",,"","214130211010000","SABCRA","5001700801","","S","","SARS","","","","","","",28-DEC-94,"RAR",,""
"POMACENTRUS LEUCOSTICTUS","BEAUGREGORY",672,"BEAUG","","","8835621230","","S","","MUELLER AND TROSCHEL","AFS-1991","","","Pomacentrus leucostictus","Beaugregory","672",09-AUG-95,"BK",,""
"POMACENTRUS VARIABILIS","COCOA DAMSELFISH",854,"COCOA","","","8835621233","","S","","CASTELNAU, 1855","AFS-1991","","","Pomacentrus variabilis","Cocoa Damselfish","854",09-AUG-95,"BK",,""
"POMATOMUS SALTATRIX","BLUEFISH",135,"BLUE","823215901010000","POMSAL","8835250101","","S","","(LINNAEUS, 1766)","AFS-1991","","","Pomatomus saltatrix","Bluefish","135",09-AUG-95,"BK",,""
"PONTINUS LONGISPINIS","LONGSPINE SCORPIONFISH",154,"LONSCOR","","","8826010503","","S","","GOODE AND BEAN","AFS-1991","","","Pontinus longispinis","Longspine Scorpionfish","154",09-AUG-95,"BK",,""
"PONTINUS RATHBUNI","HIGHFIN SCORPIONFISH",752,"HIGSCOR","","","8826010505","","S","","GOODE AND BEAN","AFS-1991","","","Pontinus rathbuni","Highfin Scorpionfish","752",09-AUG-95,"BK",,""
"PONTOGENEIA INERMIS","",,"","411012701010000","PONINE","6169201203","","S","","KROYER, 1838","","","SINGLE SP. IN FAMILY IN AREA","","","",28-DEC-94,"RAR",,""
"PONTOPHILUS BREVIROSTRIS","",,"","411020503010000","PONBRE","6179220601","","S","","SMITH, 1882","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"PONTOPHILUS NORVEGICUS","NORWEGIAN SHRIMP",299,"","411020503030000","PONNOR","6179220606","","S","","(M. SARS, 1861)","AFS-1989","","","Pontophilus norvegicus","Norwegian Shrimp","299",09-AUG-95,"BK",,""
"PONTOPHILUS SP","",,"","411020503000000","PONTSP","61792206","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"PORCELLANIDAE","PORCELAIN CRAB UNCL",,"","411022900000000","PORFAM","618312","","F","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"PORICHTHYS PLECTRODON","ATLANTIC MIDSHIPMAN",444,"MIDSHIP","","","8783010108","","S","","","AFS-1991","","|SV: NAME CHANGE AFS-1980","Porichthys porosissimus","Atlantic Midshipman","444",09-AUG-95,"BK",,""
"PORIFERA","SPONGE UNCL",,"","030000000000000","PORIFE","36","","P","","","","","","","","",28-DEC-94,"RAR",,""
"PORTUNIDAE","SWIMMING CRAB UNCL",320,"SWICRABU","411023000000000","PORFA1","618901","","F","","","AFS-1989","","|SV: CORRECTED TO FAMILY NAME","Portunid sp","Swimming Crab Uncl","320",01-JAN-99,"FPA",,""
"PORTUNUS GIBBESII","IRIDESCENT SWIMMING CRAB",,"","411023006010000","PORGIB","6189010601","","S","","(STIMPSON, 1859)","AFS-1989","","NODC Spelling error","","","",28-DEC-94,"RAR",,""
"PORTUNUS SAYI","SARGASSUM SWIMMING CRAB",,"","411023006030000","PORSAY","6189010602","","S","","(GIIBBES, 1850)","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"PORTUNUS SP","",,"","411023006000000","PORTSP","61890106","","G","","","AFS-1989","","POSS. CONF. WITH FAM. DU TO 'PORTUNID'","","","",28-DEC-94,"RAR",,""
"PORTUNUS SPINICARPUS","LONGSPINE SWIMMING CRAB",,"","411023006040000","PORTS1","6189010603","","S","","(STIMPSON, 1871)","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"POTAMILLA NEGLECTA","",,"","214130210010000","POTNEG","5001700601","","S","","(SARS)","","","","","","",28-DEC-94,"RAR",,""
"POTAMILLA RENIFORMIS","",,"","214130210020000","POTREN","5001700609","","S","","(LEUCKART)","","","","","","",28-DEC-94,"RAR",,""
"PRAUNUS FLEXUOSUS","",,"","411060312010000","PRAFLE","6153012201","","S","","","","","","","","",28-DEC-94,"RAR",,""
"PRAXILLELLA GRACILIS","",,"","214020310010000","PRAGRA","5001630901","","S","","(SARS)","","","","","","",28-DEC-94,"RAR",,""
"PRAXILLELLA SP","",,"","214020310000000","PRAXSP","50016309","","G","","VERRILL,1881","","","","","","",28-DEC-94,"RAR",,""
"PRAXILLURA ORNATA","",,"","214020311010000","PRAORN","5001631803","","S","","","","","","","","",28-DEC-94,"RAR",,""
"PRIACANTHUS ARENATUS","BIGEYE",134,"BIGEYE","","","8835170101","","S","","CUVIER","AFS-1991","","","Priacanthus arenatus","Bigeye","134",09-AUG-95,"BK",,""
"PRIACANTHUS CRUENTATUS","GLASSEYE SNAPPER",556,"GLASSEYE","","","8835170102","","S","","(LACEPEDE)","AFS-1991","","","Priacanthus cruentatus","Glasseye Snapper","556",09-AUG-95,"BK",,""
"PRIAPULUS CAUDATUS","PEANUT WORM",,"","111010102020000","PRICAU","7400010101","","S","","","","","SINGLE PRIAPULIDA SP IN AREA","","","",28-DEC-94,"RAR",,""
"PRIONACE GLAUCA","BLUE SHARK",17,"BLUESH","","","8708020601","","S","","(LINNAEUS, 1758)","AFS-1991","","","Prionace glauca","Blue Shark","017",09-AUG-95,"BK",,""
"PRIONOSPIO SP","",,"","214150808000000","PRIOSP","50014305","","G","","","","","","","","",28-DEC-94,"RAR",,""
"PRIONOSPIO STEENSTRUPI","",,"","214150808090000","PRISTE","5001430506","","S","","MALMGREN","NODC","","CORRECTED TYPO","","","",28-DEC-94,"RAR",,""
"PRIONOTUS ALATUS","SPINY SEAROBIN",764,"SPIROBIN","","","8826020105","","S","","GOODE BEAN","AFS-1991","","","Prionotus alatus","Spiny Searobin","764",09-AUG-95,"BK",,""
"PRIONOTUS CAROLINUS","NORTHERN SEAROBIN",171,"NORROBIN","823217803030000","PRICAR","8826020101","","S","","(LINNAEUS)","AFS-1991","","","Prionotus carolinus","Northern Searobin","171",09-AUG-95,"BK",,""
"PRIONOTUS EVOLANS","STRIPED SEAROBIN",172,"STRROBIN","823217803040000","PRIEVO","8826020102","","S","","(LINNAEUS)","AFS-1991","","","Prionotus evolans","Striped Searobin","172",09-AUG-95,"BK",,""
"PRIONOTUS RUBIO","BLACKWING SEAROBIN",768,"FINROBIN","","","8826020118","","S","","JORDAN, 1886","AFS-1991","","ALL BLACKFIN & BLACKWING SEAROBIN ON SURVEYS ARE P. RUBIO, CHECK & RECODE","Prionotus rubio","Blackfin Searobin","767",09-AUG-95,"BK",,""
"PRIONOTUS OPHRYAS","BANDTAIL SEAROBIN",765,"BANROBIN","","","8826020113","","S","","JORDAN AND SWAIN","AFS-1991","","","Prionotus ophryas","Bandtail Searobin","765",09-AUG-95,"BK",,""
"PRIONOTUS PARALATUS","MEXICAN SEAROBIN",274,"GULROBIN","","","8826020114","","S","","GINSBURG","AFS-1991","","|SV: COMMON CORRECTED TO AFS STANDARD","Prionotus paralatus","Gulf Searobin","274",09-AUG-95,"BK",,""
"PRIONOTUS ROSEUS","BLUESPOTTED SEAROBIN",766,"BLUROBIN","","","8826020117","","S","","JORDAN AND EVERMANN","AFS-1991","","","Prionotus roseus","Bluespotted Searobin","766",09-AUG-95,"BK",,""
"PRIONOTUS SCITULUS","LEOPARD SEAROBIN",769,"LEOROBIN","","","8826020103","","S","","JORDAN AND GILBERT","AFS-1991","","","Prionotus scitulus","Leopard Searobin","769",09-AUG-95,"BK",,""
"PRIONOTUS SP","",,"","823217803000000","PRIOS1","88260201","","G","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"PRIONOTUS STEARNSI","SHORTWING SEAROBIN",871,"SHOROBIN","","","8826020121","","S","","JORDAN AND SWAIN","AFS-1991","","","Prionotus stearnsi","Shortwing Searobin","871",09-AUG-95,"BK",,""
"PRIONOTUS TRIBULUS","BIGHEAD SEAROBIN",770,"BIGROBIN","","","8826020104","","S","","CUVIER","AFS-1991","","","Prionotus tribulus","Bighead Searobin","770",09-AUG-95,"BK",,""
"PRISTIGENYS ALTA","SHORT BIGEYE",557,"SBIGEYE","","","8835170201","","S","","(GILL)","AFS-1991","","","Pristigenys alta","Short Bigeye","557",09-AUG-95,"BK",,""
"PRISTIPOMOIDES AQUILONARIS","WENCHMAN",595,"WENCH","","","8835360701","","S","","(GOODE AND BEAN)","AFS-1991","","","Pristipomoides aquilonaris","Wenchman","595",09-AUG-95,"BK",,""
"PROBOLOIDES HOLMESI","",,"","411012903020000","PROHOL","6169480801","","S","","BONSFIELD, 1973","","","","","","",28-DEC-94,"RAR",,""
"PROBOLOIDES SP","",,"","411012903000000","PROBSP","61694808","","G","","DELLA VALLE, 1893","","","","","","",28-DEC-94,"RAR",,""
"PROCESSA BERMUDENSIS","BERMUDA NIGHT SHRIMP",,"","411024201010000","PROBER","6179170102","","S","","(RANKIN, 1900)","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"PROCESSIDAE","NIGHT SHRIMP UNCL",,"","411024200000000","PROFAM","617917","","F","","ORTMANN, 1869","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"PROGNICHTHYS GIBBIFRONS","BLUNTNOSE FLYINGFISH",470,"BLFLYING","","","8803011201","","S","","(VALENCIENNES)","AFS-1991","","","Prognichthys gibbifrons","Bluntnose Flyingfish","470",09-AUG-95,"BK",,""
"PROMETHICHTHYS PROMETHEUS","CONEJO",127,"CONEJO","","","8850010901","","S","","(CUVIER AND VALENCIENNES)","AFS-1991","","","Promethichthys prometheus","Conejo","127",09-AUG-95,"BK",,""
"PROPILIDIUM SP","",,"","514020603000000","PROPSP","51020703","","G","","FORBES AND HANLEY, 1849","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"PROTOHAUSTORIUS DEICHMANNAE","",,"","411011309010000","PRODEI","6169221201","","S","","BOUSFIELD, 1965","","","","","","",28-DEC-94,"RAR",,""
"PROTOHAUSTORIUS WIGLEYI","",,"","411011309020000","PROWIG","6169221202","","S","","BOUSFIELD, 1965","","","","","","",28-DEC-94,"RAR",,""
"PSAMMONYX NOBILIS","",,"","411011809010000","PSANOB","6169345101","","S","","STIMPSON, 1853","","","","","","",28-DEC-94,"RAR",,""
"PSEUDOCALANUS SP","",,"","411084305000000","PSEUSP","61180505","","G","","BOECK, 1872","","","","","","",28-DEC-94,"RAR",,""
"PSEUDOCUMIDAE","",,"","411040600000000","PSEFAM","615406","","F","","","","","","","","",28-DEC-94,"RAR",,""
"PSEUDOHAUSTORIUS BOREALIS","",,"","411011310010000","PSEBOR","6169221301","","S","","BOUSFIELD, 1963","","","","","","",28-DEC-94,"RAR",,""
"PSEUDOHAUSTORIUS CAROLINIENSIS","",,"","411011310020000","PSECAR","6169221302","","S","","BOUSFIELD, 1965","","","","","","",28-DEC-94,"RAR",,""
"PHYLLODOCIDA","",,"","214110000000000","PHYLLO","NONE","","","","","FOX AND RUPPERT 1988","","NODC LACKS THIS POLYCHAET ORDER","","","",28-DEC-94,"RAR",,""
"PHYLLODOCIDAE","",,"","214111700000000","PHYFAM","500113","","F","","","","","","","","",28-DEC-94,"RAR",,""
"PHYSICULUS FULVUS","METALLIC CODLING",82,"HAKELING","","","8791010301","","S","","BEAN, 1884","AFS-1991","","|SV: COMMON NAME CHANGE AFS-1990","Physiculus fulvus","Hakeling","082",09-AUG-95,"BK",,""
"PILUMNUS SAYI","SPINEBACK HAIRY CRAB",,"","411023407050000","PILSAY","6189021403","","S","","RATHBUN, 1877","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"PILUMNUS SP","",,"","411023407000000","PILUSP","61890214","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"PINNIXA CHAETOPTERANA","TUBE PEA CRAB",,"","411022802010000","PINCHA","6189060405","","S","","STIMPSON, 1860","AFS-1989","","","","","",28-DEC-94,"RAR",,""
